seed,run_id,confuser_set,anchor_index,negative_index,anchor_path,negative_path,anchor_person_id,negative_person_id,visual_similarity_before,visual_similarity_after,visual_rank_before,visual_rank_after,semantic_similarity_before
0,R00,semantic_top1,0,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb001.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.875569224357605,0.8794941902160645,8,4,0.9999998807907104
0,R00,semantic_top1,1,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb004.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8674390316009521,0.8695951104164124,26,23,0.9999998807907104
0,R00,semantic_top1,2,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb007.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8648730516433716,0.8674824833869934,19,13,0.9999998807907104
0,R00,semantic_top1,3,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb010.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8613510727882385,0.8658114075660706,14,8,0.9999998807907104
0,R00,semantic_top1,4,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb013.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8575009107589722,0.8602938652038574,69,46,0.9999998807907104
0,R00,semantic_top1,5,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb016.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8676241636276245,0.8709789514541626,5,3,0.9999998807907104
0,R00,semantic_top1,6,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb019.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8824165463447571,0.8854830265045166,2,2,0.9999998807907104
0,R00,semantic_top1,7,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb022.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8639563322067261,0.8673887848854065,8,6,0.9999998807907104
0,R00,semantic_top1,8,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb025.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8786569237709045,0.8807070255279541,7,6,0.9999998807907104
0,R00,semantic_top1,9,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb028.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8627936840057373,0.8652061223983765,32,25,0.9999998807907104
0,R00,semantic_top1,10,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb035.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8558530807495117,0.8577916026115417,3,2,0.9999998807907104
0,R00,semantic_top1,11,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb037.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8717426061630249,0.8740232586860657,2,1,0.9999998807907104
0,R00,semantic_top1,12,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb040.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8689637780189514,0.8701213598251343,5,5,0.9999998807907104
0,R00,semantic_top1,13,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb046.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8620395660400391,0.8662283420562744,13,6,0.9999998807907104
0,R00,semantic_top1,14,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb055.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8609713315963745,0.8655070662498474,9,2,0.9999998807907104
0,R00,semantic_top1,15,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb058.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8681427240371704,0.8721040487289429,10,10,0.9999998807907104
0,R00,semantic_top1,16,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb067.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8713183403015137,0.8741004467010498,5,3,0.9999998807907104
0,R00,semantic_top1,17,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb070.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8658122420310974,0.871259331703186,13,13,0.9999998807907104
0,R00,semantic_top1,18,3147,/data/datasets/PRCC/prcc/rgb/train/092/A_cropped_rgb090.jpg,/data/datasets/PRCC/prcc/rgb/train/149/B_cropped_rgb583.jpg,0,24,0.8646559715270996,0.8699235320091248,6,5,0.9999998807907104
